Fecha,Hora,Frecuencia cardiaca,Origen
2026.09.13 15:36:00,15:36:00,82,
2026.09.13 15:37:00,15:37:00,77,
2026.09.13 15:38:00,15:38:00,71,
2026.09.13 15:39:00,15:39:00,73,
2026.09.13 15:40:00,15:40:00,73,
2026.09.13 15:41:00,15:41:00,87,
2026.09.13 15:42:00,15:42:00,84,
2026.09.13 15:43:00,15:43:00,81,
2026.09.13 15:44:00,15:44:00,87,
2026.09.13 15:45:00,15:45:00,80,
2026.09.13 15:46:00,15:46:00,85,
2026.09.13 15:47:00,15:47:00,76,
2026.09.13 15:48:00,15:48:00,99,
2026.09.13 15:49:00,15:49:00,81,
2026.09.13 15:50:00,15:50:00,77,
2026.09.13 15:51:00,15:51:00,73,
2026.09.13 15:52:00,15:52:00,84,
2026.09.13 15:53:00,15:53:00,86,
2026.09.13 15:54:00,15:54:00,80,
2026.09.13 15:55:00,15:55:00,76,
2026.09.13 15:56:00,15:56:00,74,
2026.09.13 15:57:00,15:57:00,87,
2026.09.13 15:58:00,15:58:00,82,
2026.09.13 15:59:00,15:59:00,77,
2026.09.13 16:00:00,16:00:00,77,
2026.09.13 16:01:00,16:01:00,78,
2026.09.13 16:02:00,16:02:00,86,
2026.09.13 16:03:00,16:03:00,87,
2026.09.13 16:04:00,16:04:00,88,
2026.09.13 16:05:00,16:05:00,73,
2026.09.13 16:06:00,16:06:00,77,
2026.09.13 16:07:00,16:07:00,75,
2026.09.13 16:08:00,16:08:00,79,
2026.09.13 16:09:00,16:09:00,84,
2026.09.13 16:10:00,16:10:00,90,
2026.09.13 16:11:00,16:11:00,89,
2026.09.13 16:12:00,16:12:00,84,
2026.09.13 16:13:00,16:13:00,82,
2026.09.13 16:14:00,16:14:00,79,
2026.09.13 16:15:00,16:15:00,65,
2026.09.13 16:16:00,16:16:00,71,
2026.09.13 16:17:00,16:17:00,71,
2026.09.13 16:18:00,16:18:00,65,
2026.09.13 16:19:00,16:19:00,62,
2026.09.13 16:20:00,16:20:00,67,
2026.09.13 16:21:00,16:21:00,75,
